Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
Current account balance,-2.371,-4.064,-4.114,-3.153,-4.154,-4.871,-5.058,-3.396,-3.846,-6.023,-4.867,-3.295,-3.272,-3.039,-4.538,-5.006,-3.474,-2.924,-4.914,-5.484,-4.101,-2.253,-3.814,-5.355,-6.321,-5.948,-5.87,-6.718,-4.738,-4.662,-3.653,-3.077,-4.296,-3.383,-3.071,-4.619,-3.268,-2.569,-2.086,0.596,1.845,-0.089,-1.367,-1.787,-1.972,-1.966,Oceania
GDP,11239.438,12265.865,13255.559,14202.815,14762.552,15560.611,16228.439,16886.751,17627.839,18985.956,20416.674,21646.461,22348.254,22754.353,23659.802,24739.285,25761.663,26724.236,27962.227,29317.678,30910.42,31866.382,32743.01,33515.238,35137.275,36793.294,39013.725,41418.609,42705.159,41311.829,42461.303,44469.2,46477.668,47936.694,48813.542,49955.451,52614.374,54531.114,56741.338,58849.546,55406.098,58966.362,60998.255,62997.283,64997.64,67025.411,Europe
Implied PPP conversion rate,0.897,0.873,0.866,0.864,0.872,0.872,0.877,0.874,0.896,0.887,0.881,0.883,0.894,0.897,0.9,0.898,0.89,0.886,0.88,0.87,0.863,0.86,0.857,0.852,0.844,0.84,0.83,0.827,0.827,0.836,0.833,0.831,0.814,0.797,0.799,0.799,0.777,0.77,0.765,0.765,0.768,0.756,0.762,0.763,0.763,0.764,Europe
Total investment,33.133,28.87,25.998,25.353,27.248,26.883,26.773,26.917,25.657,26.486,26.704,26.97,26.292,25.361,26.187,26.768,26.338,26.214,26.106,26.118,25.927,25.161,23.643,24.409,24.061,23.825,23.61,24.584,24.467,22.775,22.608,24.14,23.977,23.723,23.532,23.806,24.188,24.766,25.11,25.343,26.181,25.672,25.433,25.377,25.382,25.076,Europe
Gross national savings,25.919,24.598,23.647,21.978,23.015,22.998,23.096,23.305,23.834,25.014,25.732,25.263,24.227,22.927,22.855,23.979,23.499,23.668,24.253,23.857,25.221,24.364,25.745,25.957,26.137,26.084,26.905,28.387,28.957,25.372,25.463,25.771,25.46,25.667,26.006,25.531,26.915,26.317,27.44,27.967,28.625,28.17,27.704,27.761,27.688,27.246,Europe
"Inflation, average consumer prices",53.215,56.837,59.929,61.928,65.436,67.523,68.696,69.663,70.964,72.561,74.577,76.901,79.536,82.108,84.334,85.693,87.211,88.228,88.948,89.407,91.156,93.254,94.824,96.058,97.943,100,101.69,103.926,107.281,107.715,109.54,113.419,116.33,118.796,120.538,121.512,122.693,125.426,128.085,129.994,131.606,133.917,136.345,139.038,141.818,144.655,Europe
"Inflation, average consumer prices",6.325,6.807,5.44,3.335,5.665,3.19,1.737,1.408,1.868,2.249,2.779,3.116,3.426,3.234,2.711,1.611,1.771,1.167,0.816,0.516,1.956,2.302,1.684,1.301,1.963,2.1,1.69,2.199,3.228,0.405,1.694,3.542,2.566,2.12,1.466,0.808,0.972,2.228,2.12,1.49,1.24,1.756,1.812,1.975,2,2,Europe
"Inflation, end of period consumer prices",54.616,58.115,60.862,63.165,66.354,68.215,68.968,70.1,71.409,73.179,75.469,77.529,80.43,82.92,84.9,85.371,87.278,88.075,88.449,89.909,91.575,93.241,94.822,96.089,98.503,100,101.642,105.154,106.723,107.833,110.187,113.832,117.031,119.203,120.036,121.207,123.078,125.878,128.027,130.332,131.635,134.136,136.551,139.282,142.067,144.909,Europe
"Inflation, end of period consumer prices",6.661,6.407,4.726,3.785,5.049,2.804,1.104,1.642,1.866,2.479,3.13,2.73,3.741,3.096,2.388,0.555,2.234,0.913,0.425,1.651,1.853,1.819,1.696,1.337,2.512,1.519,1.642,3.456,1.492,1.04,2.183,3.308,2.81,1.856,0.699,0.975,1.544,2.275,1.707,1.801,1,1.9,1.8,2,2,2,Europe
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Volume of imports of goods and services,6.17,-0.771,-4.667,5.691,10.05,6.156,-2.911,5.447,10.4,10.158,7.98,5.114,2.116,-5.489,10.332,5.905,8.642,7.27,5.758,4.064,10.186,5.192,0.291,3.508,7.975,5.455,5.854,5.635,0.954,-11.899,11.969,5.954,0.924,0.694,2.957,3.63,3.651,5.041,4.567,2.587,-9.466,8.494,4.699,3.456,3.579,1.917,Europe
Volume of Imports of goods,7.115,-1.618,-3.463,6.575,10.972,6.555,-3.581,3.51,10.4,10.262,8.615,5.988,1.348,-4.615,10.391,5.556,5.846,8.936,7.262,5.779,11.354,4.906,-0.038,3.782,9.192,5.02,6.28,7.117,0.943,-12.531,14.336,6.297,-0.045,-1.954,2.147,4.169,3.419,2.621,2.294,1.484,-4.478,6.966,5.086,4.983,2.269,2.004,Europe
Volume of exports of goods and services,5.227,5.063,1.591,3.638,6.334,7.1,-2.348,3.101,10.2,10.544,8.572,2.937,1.319,-2.373,5.688,7.205,9.979,11.028,7.852,6.434,13.525,5.771,4.286,0.531,8.661,6.665,7.576,7.572,2.171,-14.368,13.131,5.935,1.438,0.641,2.888,3.049,3.073,5.022,5.885,2.802,-11.989,10.192,3.599,3.189,3.497,1.967,Europe
Volume of exports of goods,5.24,7.714,4.078,5.682,7.754,9.61,-2.729,2.119,9.6,10.265,8.453,3.215,2.608,-3.391,8.291,12.037,6.96,15.559,8.196,7.804,13.368,6.005,4.281,0.049,10.605,6.054,7.929,8.414,0.876,-16.637,18.357,6.289,0.884,-0.804,2.883,3.136,2.69,3.069,2.799,1.872,-6.338,10.229,3.32,4.994,2.527,2.027,Europe
Unemployment rate,1.6,2.2,3.1,3.7,3.8,3.6,3.1,3.8,2.676,2.348,2.723,3.151,3.29,3.958,3.85,4.242,4.717,4.758,4.708,4.142,3.883,4.008,4.392,4.792,5.5,5.642,5.233,4.867,4.1,5.325,4.767,4.583,4.917,5.333,5.608,5.742,6.042,5.508,4.883,4.5,5.8,5.5,5,4.7,4.5,4.5,Europe
Employment,3.235,3.247,3.209,3.173,3.184,3.201,3.225,3.231,3.26,3.32,3.397,3.477,3.545,3.544,3.562,3.559,3.535,3.545,3.57,3.605,3.635,3.652,3.66,3.695,3.711,3.747,3.826,3.924,3.994,3.982,4.017,4.053,4.085,4.105,4.113,4.148,4.22,4.26,4.319,4.379,4.36,4.411,,,,,Europe
Population,7.54,7.556,7.565,7.543,7.544,7.549,7.557,7.567,7.576,7.594,7.645,7.711,7.799,7.883,7.929,7.948,7.959,7.968,7.977,7.992,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815,8.885,8.859,8.901,8.946,8.99,9.035,9.08,9.126,Europe
General government revenue,,,,,,,,,52.892,55.351,60.511,65.83,72.999,79.593,82.782,87.725,93.592,94.181,100.893,97.21,103.793,111.803,114.651,112.556,118.424,123.515,128.059,135.91,142.033,140.523,143.161,149.838,156.216,160.976,165.226,172.069,173.27,178.601,188.41,195.111,183.412,193.64,203.74,212.458,219.57,228.426,Europe
General government revenue,,,,,,,,,44.215,43.257,44,44.649,46.866,49.468,49.005,49.681,51.272,49.904,51.385,47.687,48.591,50.699,50.566,48.544,48.865,48.613,47.815,47.859,48.35,48.785,48.382,48.315,49.024,49.698,49.596,49.981,48.494,48.232,48.847,48.945,48.434,48.557,48.729,48.929,48.729,48.879,Europe
General government total expenditure,,,,,,,,,56.905,59.225,64.045,70.173,76.328,86.901,91.251,98.568,101.546,98.658,106.133,102.547,108.201,113.255,118.878,115.759,130.152,129.97,134.925,139.836,146.502,155.95,156.338,157.831,163.192,167.292,174.318,175.671,178.892,181.19,187.648,192.182,220.902,209.371,213.321,220.063,224.827,230.832,Europe
General government total expenditure,,,,,,,,,47.57,46.284,46.57,47.594,49.003,54.009,54.019,55.821,55.629,52.276,54.054,50.305,50.654,51.357,52.43,49.926,53.704,51.154,50.378,49.242,49.871,54.141,52.835,50.892,51.213,51.648,52.325,51.027,50.068,48.931,48.65,48.21,58.334,52.502,51.021,50.681,49.896,49.394,Europe
General government net lending/borrowing,,,,,,,,,-4.013,-3.874,-3.534,-4.343,-3.328,-7.308,-8.469,-10.843,-7.954,-4.476,-5.24,-5.337,-4.407,-1.452,-4.228,-3.204,-11.727,-6.455,-6.866,-3.926,-4.469,-15.427,-13.177,-7.992,-6.975,-6.317,-9.092,-3.602,-5.622,-2.589,0.763,2.929,-37.49,-15.732,-9.581,-7.605,-5.257,-2.405,Europe
General government net lending/borrowing,,,,,,,,,-3.355,-3.028,-2.57,-2.946,-2.137,-4.542,-5.013,-6.141,-4.357,-2.372,-2.669,-2.618,-2.063,-0.658,-1.865,-1.382,-4.839,-2.541,-2.563,-1.382,-1.521,-5.356,-4.453,-2.577,-2.189,-1.95,-2.729,-1.046,-1.574,-0.699,0.198,0.735,-9.9,-3.945,-2.291,-1.751,-1.167,-0.515,Europe
General government structural balance,-1.502,-0.696,-2.112,3.416,-1.221,-1.295,-2.915,-4.467,-3.004,-3.985,-4.511,-5.659,-3.984,-5.851,-7.7,-10.075,-7.785,-4.904,-5.813,-6.644,-8.263,-3.542,-4.513,-0.623,-4.395,-5.516,-8.198,-7.66,-8.133,-10.293,-11.024,-8.852,-6.558,-6.016,-1.968,0.678,-4.056,-3.272,-1.664,-3.272,-34.084,-13.735,-8.092,-6.892,-5.076,-2.358,Europe
General government structural balance,,,,,,,,,,,,-3.909,-2.588,-3.603,-4.507,-5.644,-4.234,-2.587,-2.977,-3.294,-3.931,-1.618,-1.995,-0.265,-1.799,-2.159,-3.088,-2.766,-2.843,-3.52,-3.693,-2.88,-2.068,-1.847,-0.584,0.195,-1.129,-0.886,-0.436,-0.83,-8.861,-3.414,-1.923,-1.583,-1.126,-0.505,Europe
General government primary net lending/borrowing,,,,,,,,,-1.756,-1.553,-1.01,-1.43,-0.168,-3.166,-4.204,-5.074,-1.887,1.326,0.566,0.347,1.449,4.49,1.232,2.814,-6.255,-0.448,-0.633,2.305,2.042,-9.103,-6.771,-1.373,-0.07,0.615,-2.495,2.945,0.355,2.785,5.493,7.092,-33.522,-12.037,-6.327,-4.833,-2.968,-0.186,Europe
General government primary net lending/borrowing,,,,,,,,,-1.468,-1.214,-0.734,-0.97,-0.108,-1.968,-2.489,-2.874,-1.034,0.703,0.288,0.17,0.678,2.036,0.543,1.214,-2.581,-0.176,-0.236,0.812,0.695,-3.16,-2.288,-0.443,-0.022,0.19,-0.749,0.855,0.099,0.752,1.424,1.779,-8.852,-3.019,-1.513,-1.113,-0.659,-0.04,Europe
General government net debt,,,,,,,,,,,,,,,,,,,,82.308,93.415,93.232,100.305,98.984,111.959,127.119,132.946,138.46,144.441,163.207,178.963,186.902,192.693,195.669,197.037,200.658,203.538,206.548,195.379,190.517,231.05,246.193,254.788,262.306,267.469,269.776,Europe
General government net debt,,,,,,,,,,,,,,,,,,,,40.377,43.732,42.277,44.239,42.691,46.197,50.032,49.639,48.757,49.169,56.66,60.482,60.266,60.471,60.408,59.144,58.285,56.966,55.779,50.654,47.793,61.014,61.736,60.938,60.409,59.359,57.727,Europe
General government gross debt,,,,,,,,,68.623,72.082,76.92,82.763,87.27,97.552,107.64,119.834,123.776,119.001,135.123,124.559,140.42,146.328,151.862,150.47,157.16,173.578,179.444,183.849,200.984,229.225,243.871,254.858,260.215,262.404,279.036,290.567,295.2,290.331,285.287,280.426,320.959,336.102,344.696,352.215,357.377,359.685,Europe
General government gross debt,,,,,,,,,57.365,56.332,55.932,56.134,56.028,60.629,63.721,67.865,67.807,63.056,68.819,61.103,65.738,66.355,66.978,64.896,64.849,68.317,67.001,64.74,68.417,79.58,82.418,82.178,81.661,81.011,83.758,84.401,82.62,78.405,73.964,70.347,84.757,84.281,82.442,81.115,79.313,76.966,Europe
Current account balance,-3.865,-3.042,0.703,0.276,-0.178,-0.158,0.204,-0.263,-0.242,0.248,1.166,0.061,-0.753,-1.013,-2.992,-6.9,-6.736,-5.424,-4.048,-4.917,-1.393,-1.573,4.504,4.06,6.255,7.143,11.08,14.8,19.397,10.42,11.207,7.038,6.074,8.359,10.952,6.591,10.78,6.489,10.615,11.71,10.578,12.25,11.79,12.919,12.992,12.695,Europe
Current account balance,-4.776,-4.338,1.003,0.389,-0.266,-0.23,0.21,-0.216,-0.181,0.186,0.699,0.035,-0.385,-0.532,-1.467,-2.86,-2.838,-2.546,-1.852,-2.261,-0.706,-0.796,2.102,1.548,2.076,2.258,3.295,3.802,4.49,2.596,2.855,1.631,1.483,1.943,2.474,1.725,2.727,1.552,2.329,2.624,2.444,2.498,2.27,2.384,2.306,2.171,Europe
GDP,,,,,,,,,,,,,4393.995,3446.082,2786.304,2459.088,2540.009,2786.807,2958.303,3310.773,3560.011,3835.127,4223.394,4696.36,5218.659,6805.743,9311.867,11840.395,13176.118,14288.559,15020.746,14905.289,16062.577,17299.725,17550.596,15026.136,14448.333,14184.792,14612.078,15075.895,14499.03,14932.138,15258.592,15608.853,15984.704,16378.725,Asia
Implied PPP conversion rate,,,,,,,,,,,,,--,0.001,0.033,0.114,0.139,0.145,0.142,0.143,0.165,0.171,0.175,0.184,0.196,0.218,0.235,0.276,0.347,0.279,0.314,0.384,0.369,0.359,0.355,0.377,0.431,0.505,0.554,0.543,0.484,0.501,0.51,0.517,0.524,0.53,Asia
Total investment,,,,,,,,,,,,,23.715,22.583,1.873,23.779,29.003,34.238,34.665,26.495,20.674,20.677,34.576,53.17,57.99,41.535,29.859,21.525,18.694,18.949,18.06,20.268,22.317,25.658,27.51,27.914,25.682,24.379,20.001,20.345,14.364,16.906,17.533,18.084,18.557,19.008,Asia
Gross national savings,,,,,,,,,,,,,-11.204,10.587,-3.588,6.881,0.44,13.818,6.213,9.416,16.223,19.552,19.652,23.413,25.389,38.704,44.302,44.625,49.472,39.804,44.139,46.269,43.758,42.217,40.476,27.348,22.075,27.348,32.049,28.654,10.502,12.26,13.928,15.639,17.183,17.628,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,0.063,0.773,13.635,69.78,83.592,86.664,85.994,78.663,80.083,81.499,83.746,85.523,91.26,100,108.227,126.177,152.4,154.457,163.206,175.861,177.631,181.936,184.57,192.042,215.929,243.664,249.352,256.115,263.798,271.976,280.679,289.661,298.93,308.496,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,,1129.7,1664,411.76,19.795,3.674,-0.773,-8.525,1.805,1.768,2.758,2.121,6.709,9.577,8.227,16.586,20.783,1.35,5.664,7.754,1.007,2.424,1.448,4.048,12.438,12.844,2.334,2.712,3,3.1,3.2,3.2,3.2,3.2,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,0.159,2.303,43.567,80.422,85.792,86.126,79.586,79.215,80.959,82.4,85,88,97.2,102.4,114,136.3,157.4,158.5,171.1,180.7,180.2,186.9,186.7,199.669,230.688,248.986,252.966,259.796,267.59,275.885,284.714,293.824,303.227,312.93,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,,1350,1792.14,84.595,6.677,0.389,-7.593,-0.467,2.202,1.78,3.155,3.529,10.455,5.35,11.328,19.561,15.481,0.699,7.95,5.611,-0.277,3.718,-0.107,6.946,15.535,7.932,1.598,2.7,3,3.1,3.2,3.2,3.2,3.2,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,,,,,,,,,,,,,,-40.893,-24,6.614,31.724,59.214,-0.333,-43.888,4.482,8.296,34.439,25.046,-3.499,-2.306,24.192,7.421,2.061,-4.742,-8.928,31.853,13.281,13.342,7.235,13.371,13.957,-2.915,-3.031,-0.544,0.502,7.281,0.028,-2.305,-2.068,-0.84,Asia
Volume of Imports of goods,,,,,,,,,,,,,,-52.354,-19.872,-3.471,32.577,37.359,8.267,-41.035,6.358,-2.057,14.183,22.196,-4.084,6.944,29.545,6.351,5.124,-5.167,-11.419,31.923,4.615,9.822,-11.401,26.926,17.178,-5.851,13.534,2.891,-2.988,9.298,-0.783,-2.041,-3.138,-0.904,Asia
Volume of exports of goods and services,,,,,,,,,,,,,,-62.4,-8,-3.434,-5.716,29.215,24.63,-5.023,5.458,32.235,9.735,-0.676,7.825,42.135,39.905,45.917,6.444,7.963,-1.882,0.276,-1.133,-1.836,-2.251,10.194,2.638,-7.356,1.193,2.368,0.272,-3.688,0.68,0.063,0.788,-1.635,Asia
Volume of exports of goods,,,,,,,,,,,,,,-60.379,-16.819,-7.461,-0.63,7.97,19.065,13.123,15.237,32.81,8.056,-1.315,10.984,47.637,42.133,47.787,7.262,4.615,-1.317,0.197,-5.707,-1.734,-4.122,-1.215,-0.874,-5.853,8.116,5.489,-8.987,-3.828,2.457,1.572,1.045,-1.818,Asia
Unemployment rate,,,,,,,,,,,,,,,,,,,,,11.777,10.913,10.037,9.167,7.987,7.256,6.615,6.326,5.856,5.742,5.631,5.424,5.185,4.973,4.913,4.958,5.043,4.961,4.944,4.848,6.541,5.755,5.69,5.627,5.564,5.501,Asia
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Population,,,,,,,,,,,,,7.459,7.487,7.597,7.644,7.726,7.8,7.877,7.953,8.033,8.114,8.191,8.269,8.349,8.447,8.553,8.666,8.78,8.922,8.998,9.111,9.235,9.357,9.477,9.593,9.706,9.81,9.898,9.982,10.101,10.222,10.345,10.469,10.595,10.722,Asia
General government revenue,,,,,,,,,,,,,,,0.127,0.375,0.481,0.605,0.674,0.697,0.867,2.049,2.578,1.663,2.218,3.161,4.867,8.056,19.52,14.368,19.444,23.226,22.085,22.937,23.084,18.416,20.697,24.075,30.925,33.915,25.482,27.253,28.599,29.49,30.278,30.859,Asia
General government revenue,,,,,,,,,,,,,,,17.868,17.572,17.586,19.159,20.353,18.472,18.384,38.549,42.532,23.267,25.997,25.239,25.962,28.405,48.633,40.359,45.789,44.594,40.342,39.423,39.117,33.866,34.252,34.227,38.612,41.521,35.975,35.61,35.548,34.903,34.146,33.164,Asia
General government total expenditure,,,,,,,,,,,,,,,0.172,0.398,0.54,0.638,0.62,0.736,0.861,0.892,1.403,1.548,2.066,2.817,4.743,7.393,12.619,12.285,13.571,17.57,20.056,21.981,21.466,21.034,21.377,25.035,26.538,27.3,29.953,31.683,32.732,33.698,34.564,35.666,Asia
General government total expenditure,,,,,,,,,,,,,,,24.284,18.665,19.75,20.191,18.721,19.505,18.24,16.785,23.139,21.662,24.216,22.498,25.299,26.068,31.439,34.506,31.958,33.735,36.636,37.779,36.374,38.68,35.378,35.593,33.134,33.423,42.287,41.399,40.686,39.883,38.98,38.33,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,-0.045,-0.023,-0.059,-0.033,0.054,-0.039,0.007,1.157,1.176,0.115,0.152,0.343,0.124,0.663,6.901,2.084,5.873,5.656,2.029,0.956,1.618,-2.618,-0.681,-0.961,4.387,6.615,-4.471,-4.43,-4.133,-4.208,-4.286,-4.807,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,-6.416,-1.093,-2.164,-1.032,1.631,-1.033,0.145,21.764,19.393,1.605,1.781,2.741,0.663,2.337,17.194,5.853,13.831,10.86,3.705,1.643,2.742,-4.814,-1.126,-1.366,5.478,8.098,-6.312,-5.789,-5.138,-4.98,-4.834,-5.166,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,-0.045,-0.021,-0.05,-0.029,0.057,-0.024,0.025,1.171,1.193,0.131,0.17,0.364,0.159,0.722,6.961,2.148,5.875,5.695,2.087,1.018,1.706,-2.416,-0.44,-0.585,4.93,7.258,-3.839,-3.775,-3.507,-3.604,-3.749,-4.27,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,-6.407,-0.993,-1.839,-0.912,1.732,-0.633,0.539,22.024,19.672,1.833,1.99,2.908,0.85,2.545,17.342,6.032,13.836,10.935,3.813,1.749,2.891,-4.443,-0.728,-0.832,6.155,8.886,-5.419,-4.933,-4.359,-4.265,-4.228,-4.589,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government gross debt,,,,,,,,,,,,,,,,0.41,0.457,0.394,0.473,0.959,1.077,1.296,1.395,1.56,0.828,0.858,0.993,1.135,1.293,1.683,2.115,2.587,3.192,3.595,5.035,9.778,12.453,15.832,14.966,14.46,14.247,15.334,17.234,19.976,20.905,24.389,Asia
General government gross debt,,,,,,,,,,,,,,,,19.209,16.721,12.466,14.291,25.414,22.837,24.387,23.018,21.828,9.71,6.855,5.297,4.003,3.221,4.726,4.981,4.967,5.831,6.179,8.533,17.98,20.608,22.509,18.685,17.703,20.113,20.036,21.422,23.642,23.576,26.211,Asia
Current account balance,,,,,,,,,,,,,-0.198,-0.16,-0.123,-0.318,-0.823,-0.916,-1.364,-0.6,-0.187,-0.052,-0.768,-2.021,-2.589,0.167,3.708,9.019,16.454,10.173,15.04,17.146,14.916,12.318,10.431,-0.222,-1.363,1.685,6.051,4.365,-1.509,-1.989,-1.302,-0.703,-0.191,-0.219,Asia
Current account balance,,,,,,,,,,,,,-16.598,-12.199,-5.461,-13.165,-25.894,-23.11,-31.883,-13.09,-3.539,-0.945,-12.329,-27.772,-29.824,1.261,17.632,27.256,33.593,22.969,28.423,25.983,21.405,16.61,13.863,-0.438,-3.604,4.071,12.844,9.084,-3.621,-4.419,-2.752,-1.415,-0.366,-0.4,Asia
GDP,12585.747,13126.926,14477.829,15709.225,16302.811,17281.601,17781.302,18580.282,19267.884,20138.641,20762.219,20223.039,19552.509,19734.068,20434.627,21335.112,22260.297,23368.584,24341.666,26032.157,27280.291,28187.721,28984.543,28741.403,29370.256,30899.534,32239.952,33184.242,32658.459,31174.826,31669.742,32170.209,33251.607,32854.003,34116.5,34342.088,35050.611,37211.836,38824.773,39557.404,33807.52,35741.981,37969.31,39770.224,40958.461,41918.475,America
Implied PPP conversion rate,0.976,0.952,0.95,0.952,0.959,0.972,1.004,1.04,1.022,1.083,0.985,0.977,0.993,0.962,0.962,0.95,0.942,0.939,0.957,0.99,0.978,0.96,0.982,0.976,0.961,0.98,0.959,0.961,0.957,0.94,0.925,0.899,0.915,0.903,0.904,0.936,0.924,0.901,0.891,0.902,0.888,0.882,0.885,0.887,0.889,0.889,America
Total investment,21.236,21.236,21.236,21.236,21.236,21.236,21.236,16.82,16.599,26.115,26.267,26.552,25.194,20.83,23.392,24.742,27.296,29.917,32.218,28.736,30.39,27.107,23.879,24.107,23.079,27.534,33.037,30.687,29.071,27.852,27.463,29.982,31.342,29.465,32.813,25.48,27.423,26.639,22.784,23.605,28.435,27.924,25.648,24.168,23.703,23.451,America
Gross national savings,13.405,10.94,11.839,12.837,12.661,12.978,13.368,9.937,9.737,13.388,14.746,12.079,13.142,12.401,12.006,10.954,9.736,24.559,22.133,30.094,28.875,23.271,23.963,23.935,24.685,24.436,22.896,21.7,20.79,19.757,19.579,19.047,17.054,15.119,13.08,11.728,21.465,14.556,11.362,24.222,10.889,11.992,13.397,14.629,15.381,15.724,America
"Inflation, average consumer prices",34.371,38.167,40.496,42.116,43.786,45.811,48.291,51.186,53.259,56.138,58.736,63.026,66.541,68.37,69.305,70.707,71.599,72.001,72.87,73.686,74.962,76.733,77.883,80.731,81.668,83.153,84.781,86.822,90.671,92.181,93.676,96.546,98.392,98.831,100,101.878,101.542,103.065,105.402,106.809,108.706,111.01,113.7,116.35,118.956,121.533,America
"Inflation, average consumer prices",12.231,11.046,6.101,4,3.966,4.624,5.414,5.994,4.051,5.405,4.628,7.304,5.577,2.748,1.367,2.023,1.262,0.561,1.207,1.119,1.732,2.362,1.498,3.657,1.16,1.819,1.958,2.407,4.434,1.666,1.621,3.064,1.912,0.445,1.183,1.878,-0.33,1.5,2.268,1.335,1.776,2.12,2.423,2.331,2.239,2.166,America
"Inflation, end of period consumer prices",36.182,39.434,41.231,42.668,44.626,46.769,49.958,51.982,54.614,56.993,61.003,64.914,67.189,68.967,69.962,71.099,71.809,72.377,73.443,74.579,75.396,77.321,78.784,81.225,82.568,83.563,85.596,87.904,91.585,93.09,94.644,97.523,98.162,99.1,99.3,101.31,102.29,103.94,105.98,107.911,109.778,112.525,115.164,117.833,120.381,122.994,America
"Inflation, end of period consumer prices",12.138,8.987,4.556,3.486,4.589,4.802,6.818,4.053,5.063,4.356,7.036,6.41,3.505,2.646,1.443,1.625,0.999,0.791,1.472,1.547,1.095,2.553,1.892,3.098,1.654,1.205,2.433,2.697,4.187,1.643,1.669,3.042,0.655,0.955,0.202,2.024,0.967,1.613,1.963,1.822,1.731,2.502,2.345,2.318,2.162,2.17,America
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Volume of imports of goods and services,1.038,1.013,5.719,8.564,4.289,19.553,8.2,-3.267,-0.176,5.178,-6.406,-4.524,-5.267,1.88,9.163,2.901,6.47,25.885,24.731,-9.809,6.4,-1.191,-2.557,-2.855,1.097,8.672,16.111,0.192,-8.014,-13.162,-4.332,4.324,16.181,0.417,10.354,-6.197,4.724,6.452,-1.867,-5.352,-22.885,13.624,17.587,4.245,1.789,0.334,America
Volume of Imports of goods,-3.883,-2.474,4.481,14.04,8.925,22.133,11.128,-7.415,-1.417,6.671,-11.59,-1.182,-4.47,-4.589,8.36,8.013,4.382,28.702,23.388,-11.112,8.286,-4.252,-7.145,-0.805,-0.96,14.931,10.453,2.163,-4.233,-12.808,-3.095,3.992,7.668,-1.771,10.581,2.312,-4.148,13.216,-1.051,-10.697,-24.513,15.947,17.855,3.733,1.495,0.424,America
Volume of exports of goods and services,9.582,-5.893,-1.704,7.095,2.953,16.119,4.161,1.382,-3.919,3.002,0.923,-16.888,-3.076,14.988,2.139,0.96,2.057,1.667,1.163,17.745,10.419,-12.931,9.897,-3.563,7.139,9.134,0.817,5.88,-3.745,-21.13,3.215,0.22,8.279,-0.889,-2.733,-5.09,14.679,-2.622,11.919,3.245,-63.848,44.121,39.918,13.675,6.277,2.449,America
Volume of exports of goods,6.025,-18.163,20.715,6.583,14.715,17.675,2.634,7.919,-8.543,-27.798,23.77,-15.647,-0.456,-12.93,-0.412,3.138,0.892,4.763,73.346,31.057,21.222,-32.682,-1.049,10.891,0.258,2.756,14.753,7.077,5.282,-15.519,-3.194,6.751,-2.828,16.243,-8.381,-26.707,1.073,12.025,0.487,0.942,-28.216,7.503,23.264,18.155,14.221,1.412,America
Unemployment rate,,,,,,,12.2,11.5,11,11.7,12,12.3,14.8,13.1,13.292,10.9,11.505,9.779,7.743,7.796,7,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35,10.653,25.408,20.305,18.02,16.077,15.59,15.268,America
